               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.018276,            0.046642,           0.0043511,             0.97129,             0.96021,             0.97566,             0.71856,             0.01949,            0.040767,            0.003197,            0.002476,            0.002476,            0.002476
                  78,            0.018061,            0.046515,           0.0044152,             0.97133,             0.95874,             0.97656,             0.72248,            0.019538,            0.041012,           0.0031342,            0.002377,            0.002377,            0.002377
                  79,            0.018209,            0.046617,           0.0044768,             0.96901,             0.95645,             0.97405,              0.7191,             0.01951,            0.041176,           0.0031587,            0.002278,            0.002278,            0.002278
                  80,             0.01788,             0.04564,           0.0041948,              0.9719,              0.9503,             0.97818,             0.72451,            0.019461,            0.041105,           0.0030609,            0.002179,            0.002179,            0.002179
                  81,            0.017826,             0.04605,           0.0042114,              0.9641,              0.9531,             0.97458,             0.71569,            0.019661,            0.041479,           0.0030161,             0.00208,             0.00208,             0.00208
                  82,            0.017682,            0.045438,           0.0041099,             0.96403,             0.95387,             0.97273,             0.71199,            0.019685,            0.041338,           0.0033615,            0.001981,            0.001981,            0.001981
                  83,            0.017522,            0.045444,           0.0042393,             0.96691,             0.95873,             0.97608,             0.71618,            0.019744,            0.041682,           0.0030499,            0.001882,            0.001882,            0.001882
                  84,            0.017413,            0.045606,           0.0041368,             0.96628,             0.95905,             0.97311,             0.71206,            0.019719,            0.041794,           0.0030682,            0.001783,            0.001783,            0.001783
                  85,            0.017352,            0.044971,           0.0041004,             0.96452,             0.96005,             0.97235,             0.71228,            0.019642,            0.042036,           0.0032785,            0.001684,            0.001684,            0.001684
                  86,            0.017332,            0.045126,           0.0041276,              0.9653,             0.95587,             0.97226,             0.71403,            0.019721,            0.041859,           0.0036113,            0.001585,            0.001585,            0.001585
                  87,             0.01718,            0.044763,           0.0041837,             0.96763,             0.95541,             0.97413,             0.71231,            0.019732,            0.042117,           0.0036141,            0.001486,            0.001486,            0.001486
                  88,            0.017011,            0.044612,           0.0040013,             0.96775,             0.96061,              0.9749,             0.71954,            0.019684,            0.042223,           0.0036571,            0.001387,            0.001387,            0.001387
                  89,             0.01692,            0.044474,           0.0040407,              0.9708,             0.95461,             0.97715,             0.71734,            0.019711,            0.042289,           0.0033262,            0.001288,            0.001288,            0.001288
                  90,             0.01672,            0.044566,           0.0039137,             0.96467,             0.96001,             0.97573,             0.71596,            0.019853,            0.042327,           0.0033626,            0.001189,            0.001189,            0.001189
                  91,            0.016705,            0.043832,           0.0039679,             0.96444,             0.96041,             0.97509,             0.71751,            0.019894,            0.042691,           0.0033522,             0.00109,             0.00109,             0.00109
                  92,            0.016493,            0.043331,            0.003873,             0.96607,             0.95509,              0.9752,             0.71498,            0.019821,            0.042865,           0.0034082,            0.000991,            0.000991,            0.000991
                  93,            0.016321,            0.042979,           0.0038577,             0.96478,             0.95831,             0.97299,             0.70845,            0.019876,            0.043001,           0.0033395,            0.000892,            0.000892,            0.000892
                  94,            0.016299,            0.042875,           0.0038474,             0.96325,             0.95605,             0.97271,             0.71592,            0.019854,            0.043125,           0.0035669,            0.000793,            0.000793,            0.000793
                  95,            0.016158,            0.042588,           0.0038331,             0.96424,             0.95826,             0.97273,             0.71658,            0.019862,            0.043305,           0.0035395,            0.000694,            0.000694,            0.000694
                  96,            0.016059,            0.042162,           0.0037505,              0.9662,             0.95705,             0.97328,             0.71383,            0.019785,            0.043301,           0.0035218,            0.000595,            0.000595,            0.000595
                  97,            0.016105,            0.042554,           0.0036061,             0.96362,             0.95748,             0.97266,             0.71493,            0.019845,            0.043618,           0.0035461,            0.000496,            0.000496,            0.000496
                  98,            0.015925,            0.042148,            0.003698,             0.96541,               0.957,             0.97263,              0.7136,            0.019897,            0.043565,           0.0034983,            0.000397,            0.000397,            0.000397
                  99,            0.015904,            0.041787,           0.0038148,              0.9644,             0.95884,             0.97306,             0.71574,            0.019848,            0.043653,           0.0034879,            0.000298,            0.000298,            0.000298
